Title,Date,Content,Project,Artist,Image
Peace of Love,2023-12-16,Peace of Love,클럽FF,"리플렉스, 크라잉넛",media/myarticleimage/image.jpg
락앤롤,2024-01-07,나는말야,롤링홀,김창완밴드,media/myarticleimage/image.jpg
레전드,2024-08-12,전역날이 온다,대전역,서동우,media/myarticleimage/image.jpg
더 펑크 쇼@FF,2024-01-13,"8:10PM - 10:30PM #돌핀팬츠브라더스 @dolphinpantsbrothers
8:50PM #더사운드 @thesoundkor
9:30PM #스모킹구스 @band.smokinggoose
10:10PM #레이지본 @lazybone.official
펑크록/스카펑크/스케잇펑크
입장료: 30,000원 (현장 결제만 가능)",클럽FF,"돌핀팬츠브라더스, 더사운드, 스모킹구스, 레이지본",media/myarticleimage/image.jpg
Champagne supernova@FF,2024-01-12,"7:00pm #차차 @chacha__the_best, 7:45pm #벤치위레오 @benchweleo, 8:30pm #바닐레어 @vanillare, 9:15pm #프랭클리 @band_frankly_band, 10:00pm #차세대 @newtape6",클럽FF,"차차, 벤치위레오, 바닐레어, 프랭클리, 차세대",media/myarticleimage/image.jpg
4EVER @FF,2024-02-04,"5:30pm #에디앤더브릭스 @eddie_and_the_bricks, 6:20pm #뉴링크 @newlink_here, 7:10pm #반디 @band_bandi_official, 8:00pm #크리스피 @thecreespy",클럽FF,"에디앤더브릭스, 뉴링크, 반디, 크리스피",media/myarticleimage/image.jpg
