Title,Date,Content,Artist,Image,Project
The Punk Show,2024-01-13,"The Punk Show@FF

2024/01/13(SAT) 8:10PM

Live Bands:

8:10pm #돌핀팬츠브라더스 @dolphinpantsbrothers

8:50pm #더사운드 @thesoundkor

9:30pm #스모킹구스 @band.smokinggoose

10:10pm #레이지본 @lazybone.official

<PunkRock/SkaPunk/SkaitPunk>","돌핀팬츠브라더스, 더사운드, 스모킹구스, 레이지본",media/myarticleimage/image.jpg,클럽FF
Champagne supernova,2024-01-12,"Champagne supernova@FF

2024/01/12(FRI) 7:00pm

Live Bands:

7:00pm #차차 @chacha__the_best

7:45pm #벤치위레오 @benchweleo

8:30pm #바닐레어 @vanillare

9:15pm #프랭클리 @band_frankly_band

10:00pm #차세대 @newtape6

<PopRock/ModernRock/IndieRock>","차차, 벤치위레오, 바닐레어, 프랭클리, 차세대",media/myarticleimage/image.jpg,클럽FF
Joyful Thursday,2024-01-25,"Joyful Thursday @FF

2024/01/25(THU) 8:00pm

Live Bands:

8:00pm #프림

8:40pm #AsianMod-Revival

9:20pm #Ratioff

10:00pm #Oyster

<IndiePop/IndieRock/PopRock/ModernRock>","프림, AsianMod-Revival, Ratioff, Oyster",media/myarticleimage/image.jpg,클럽FF
4EVER,2024-02-04,"4EVER @FF

2024/02/04(SUN) 5:30pm

Live Bands:

5:30pm #에디앤더브릭스 @eddie_and_the_bricks

6:20pm #뉴링크 @newlink_here

7:10pm #반디 @band_bandi_official

8:00pm #크리스피 @thecreespy

<PopRock/ModernRock/IndieRock>","에디앤더브릭스, 뉴링크, 반디, 크리스피",media/myarticleimage/image.jpg,클럽FF
Happy Thursday,2024-01-18,"Happy Thursday @FF

2024/01/18(THU) 8:00pm

Live Bands:

8:00pm #오시원

8:40pm #기이린

9:20pm #저,밴드맨이됩니다

10:00pm #펭귄이아닙니다

<IndiePop/IndieRock/PopRock/ModernRock>","오시원, 기이린, 저,밴드맨이됩니다, 펭귄이아닙니다",media/myarticleimage/image.jpg,클럽FF
